Transportation Service Provider Name:,,,,ANR Pipeline Company,,,,,,,,,,,,,,,
Transportation Service Provider:,,,,6958581,,,,,,,,,,,,,,,
Transporation Service Provider FERC CID:,,,,C000623,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Location Name,Loc,Loc St Abbrev,Loc Cnty,Loc Zone,Loc Type Ind,Dir Flo,Loc Stat Ind,Eff Date,,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn Loc Name,Up/Dn Loc,Up/Dn FERC CID IND,Up/Dn FERC CID,Update Date/Time
BARNITZ CREEK,513128,OK,Custer,Zone 4,INT,R,A,1/1/19,,,N,Citizens Midstream,990000012,,,,N,,20190411 10:31
BARRACUDA/ANR,1390725,LA,Cameron,Zone 1,INT,R,A,6/1/14,,,Y,Kinetica Deepwater,8017117,,BARRACUDA/ANR,1390725,Y,C002844,20140714 10:56
BARRACUDA-NGPL (CM),46912,LA,Cameron,Zone 1,INT,D,I,6/1/97,,,Y,NGPL,6931794,,,,Y,C002096,20191017 12:48
BARRON LAKE,11590,MI,Cass,Zone 7,LDC,D,A,1/1/83,,,N,Semco Energy Inc DBA SEG,6960553,,,,N,,20190321 13:16
BATTLE CREEK GAS/CALHOUN,40470,MI,Calhoun,Zone 7,LDC,D,A,9/1/88,,,N,Semco Energy Inc DBA SEG,6960553,,,,N,,20170616 12:29
BAXTER HEALTH INT,22975,MS,Bolivar,Zone 2,END,D,A,9/1/88,,,N,Baxter Healthcare,5083209,,,,N,,20180725 16:46
BEAR CREEK,28855,WI,Waupaca,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20150508 12:46
BEAVER PLANT (CNG),163450,OK,Beaver,Zone 4,INT,R,A,11/9/88,,,N,Connect Energy Svcs,784767498,,,,N,,20180125 08:51
BEAVER-CIG (REC FR CIG),16435,OK,Beaver,Zone 4,INT,R,A,1/1/83,,,Y,Colorado Interstate Gas,6914865,,,,Y,C000981,20181002 13:16
BEAVER-CIG (DEL TO CIG),16454,OK,Beaver,Zone 4,INT,R,A,1/1/83,,,Y,Colorado Interstate Gas,6914865,,,,Y,C000981,20181002 13:16
