Transportation Service Provider Name:,,,,ANR Pipeline Company,,,,,,,,,,,,,,,
Transportation Service Provider:,,,,6958581,,,,,,,,,,,,,,,
Transporation Service Provider FERC CID:,,,,C000623,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Location Name,Loc,Loc St Abbrev,Loc Cnty,Loc Zone,Loc Type Ind,Dir Flo,Loc Stat Ind,Eff Date,,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn Loc Name,Up/Dn Loc,Up/Dn FERC CID IND,Up/Dn FERC CID,Update Date/Time
DUGAS RD REC,513142,LA,Jefferson Davis,Zone 1,INT,R,A,2/16/24,,,N,TC Louisiana Intrastate  ,123,,Dugas Rd,620003,N,,20240411 12:45
DUNDEE INTERCONNECT,282437,MI,Lenawee,Zone 7,LDC,D,A,10/27/00,,,N,Michigan Gas Utilities,622377096,,,,N,,20180812 05:08
DUNKIRK,138677,IN,Jay,Zone 3,LDC,D,A,11/1/93,,,N,Indiana Gas Company,6938211,,,,N,,20170131 12:15
DUNN INTERCONNECT,1055519,LA,Richland,Zone 2,INT,D,A,6/15/10,,,N,CP Energy Intrastate,799376074,,,,N,,20150109 05:05
DURALDE EVANGELINE INT,312115,LA,Evangeline,Zone 2,INT,D,A,12/15/01,,,Y,Transco,7933021,,Duralde,312116,Y,C000654,20170109 10:02
EAST BIG RAPIDS,40898,MI,Mecosta,Zone 7,LDC,D,A,1/1/83,,,N,DTE Gas Company,6958540,,,,N,,20150109 05:04
EAST HANCOCK CTY SCHOOL,40188,IN,Hancock,Zone 3,LDC,D,A,1/1/83,,,N,Indiana Gas Company,6938211,,,,N,,20160513 09:31
EAST JOLIET,4196,IL,Will,Zone 7,INT,D,A,1/1/83,,,N,Peoples GL&C,6932115,,,,N,,20140319 08:50
EAST OHIO-GRP 1,139252,OH,,Zone 7,LDC,B,A,6/1/92,,,N,East Ohio Gas Co,7900475,,,,N,,20030530 13:02
EAST OHIO-GRP 2,356048,OH,,Zone 3,LDC,B,A,11/1/02,,,N,East Ohio Gas Co,7900475,,,,N,,20021018 08:15
EAST ROGERS HEIGHTS,40890,MI,Mecosta,Zone 7,LDC,D,A,1/1/83,,,N,DTE Gas Company,6958540,,,,N,,20060831 07:25
EDGAR,28753,WI,Marathon,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20171220 15:16
EDGERTON,28806,WI,Rock,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20180828 09:46
EDON,218537,OH,Williams,Zone 7,LDC,D,A,2/25/97,,,N,Ohio Gas Company,3779345,,,,N,,20111229 08:31
EDWARDSBURG,11589,MI,Cass,Zone 7,LDC,D,A,1/1/83,,,N,Semco Energy Inc DBA SEG,6960553,,,,N,,20170914 12:10
EGAN (DELIVERY) INT,186899,LA,Acadia,Zone 1,STR,D,A,6/15/95,,,N,Egan Hub Storage LLC,835460478,,ANR - Storage LA (D40102/R40101),453650,Y,C000086,20110831 15:29
EGAN (RECEIPT) INT,186900,LA,Acadia,Zone 1,STR,R,A,10/28/95,,,N,Egan Hub Storage LLC,835460478,,ANR - Storage LA (D40102/R40101),453650,Y,C000086,20110831 15:30
ELDON,138748,IA,Wapello,Zone 6,LDC,D,A,1/1/91,,,N,Interstate Power & Light,6940522,,,,N,,20170607 12:39
ELK CITY INTERCONNECT,482503,OK,Roger Mills,Zone 4,WHD,R,A,10/23/06,,,N,PRODUCERS,363282422,,McClure CTP,,N,,20180919 08:59
ELLIOTT ROAD,40480,OH,Defiance,Zone 7,LDC,D,A,4/23/90,,,N,Ohio Gas Company,3779345,,,,N,,20160414 14:06
EMBARRASS,28849,WI,Waupaca,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20150508 12:50
EMERALD GROVE,28816,WI,Rock,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20180529 15:22
EMERSON MANITOBA,153950,,Manitoba,Off sys,OTH,B,A,11/1/70,,,N,Transcanada Gas System,253892756,,,,N,,20020913 07:18
EUNICE PROC'G PLANT,44885,LA,Acadia,Zone 1,PLT,R,A,5/1/83,,,N,Enlink Midstream,878636729,,,,N,,20020913 07:18
EUNICE PVR,217760,LA,Acadia,Zone 1,PLT,D,I,1/1/97,,19970701,N,ANR Pipeline Company,6958581,,,,Y,C000623,20171017 21:14
FAIRFAX,40285,MO,Holt,Zone 5,LDC,D,A,1/1/86,,,N,Empire District Gas,625371880,, ,,N,,20140131 13:49
FAIRFIELD,4706,IA,Jefferson,Zone 6,LDC,D,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20170607 12:46
FAIRWATER,40197,WI,Columbia,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20180928 16:01
FALLEN TIMBERS,523086,OH,Lucas,Zone 7,INT,D,A,9/23/16,,,N,Generation Pipeline,504804277,,,,N,,20180929 10:23
FARWELL (DELIVERY),11616,MI,Clare,Zone 7,INT,D,A,1/1/83,,,Y,Great Lakes Gas Transmission,824900229,,Farwell Receipt,11601,Y,C000628,20151030 13:01
FARWELL (RECEIPT),48644,MI,Clare,Zone 7,INT,R,A,1/1/83,,,Y,Great Lakes Gas Transmission,824900229,,Farwell Delivery,720040,Y,C000628,20151030 13:01
FAYETTEVILLE EXPRESS,803184,MS,Quitman,Zone 2,INT,B,A,11/5/10,,,Y,Fayetteville Express Pipeline  LLC,75374115,,ANR Quitman,78524,Y,C001012,20110216 09:13
FEIKERT,482504,KS,Clark,Zone 4,WHD,R,I,8/11/06,,20170901,N,Thoroughbred Associates,873140057,,,,N,,20170905 11:54
FENNVILLE,11563,MI,Allegan,Zone 7,LDC,D,A,1/1/83,,,N,Michigan Gas Utilities,622377096,,,,N,,20181023 12:16
FENSTERMACHER #1-14,44783,MI,Mecosta,Zone 7,WHD,R,A,9/1/99,,,N,Muskegon Development Co,6960421,,,,N,,20141114 14:46
FERDINAND,4274,IN,Dubois,Zone 3,LDC,D,A,8/1/02,,,N,Ohio Valley Gas Corp,6940274,,,,N,,10/12/18/11:01
FLINT CREEK,4618,IA,Des Moines,Zone 6,LDC,D,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20170607 12:46
FLORENCE WI,150407,WI,Florence,Zone 7,LDC,D,A,10/1/92,,,N,Florence Utility,30194286,,,,N,,20180508 12:55
FLORY ROAD,153782,OH,Defiance,Zone 7,LDC,D,A,7/1/90,,,N,Ohio Gas Company,3779345,,,,N,,20160414 14:15
FOCUS-SWEETWATER,302190,OK,Roger Mills,Zone 4,WHD,R,I,7/26/01,,20180919,N,Access Midstream Gas,967633350,,,,N,,20180919 08:57
FOND DU LAC,28702,WI,Fond Du Lac,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20180727 14:23
FOND DU LAC CENTRAL,139402,WI,Fon Du Lac,Zone 7,LDC,D,A,8/7/92,,,N,Wisconsin Power & Lght,7946452,,,,N,,20180727 14:23
FOREST CITY,12999,MO,Holt,Zone 5,LDC,D,A,1/1/83,,,N,Empire District Gas,625371880,,,,N,,20160203 13:51
FORT ATKINSON,28811,WI,Rock,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Electric Power,7947385,,,,N,,20170719 09:46
FORT ELLIOTT RECEIPT,1261065,TX,Wheeler,Zone 4,INT,R,A,8/1/12,,,Y,Enable Oklahoma,7205412,,ANR Wheeler Plant Delivery,35031,Y,C000960,20140610 13:12
FORT MADISON,4738,IA,Lee,Zone 6,LDC,D,A,1/1/83,,,N,Midamerican Energy Co,884718768,,,,N,,20170607 12:46
FORT RECOVERY,112028,OH,Mercer,Zone 3,LDC,D,A,3/2/90,,,N,East Ohio Gas Co,7900475,,,,N,,20110124 10:19
FORT WAYNE,40184,IN,Adams,Zone 3,LDC,D,A,1/1/83,,,N,NIPSCO,6937585,,,,N,,20170918 09:47
FOUNTAINTOWN-GRP 1,139239,IN,Indiana,Zone 3,LDC,B,A,11/1/92,,,N,Fountaintown Gas,75980516,,,,N,,20020913 07:18
FOURNERAT ROAD DELIVERY,523092,LA,Acadia,Zone 1,LDC,D,A,12/1/18,,,y,Florida Gas Transmission,6924518,,,100733,Y,C000255,20181218 12:13
FREDONIA,28828,WI,Sheboygan,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20180814 14:12
FREEDOM,28780,WI,Outagamie,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20150508 12:50
FREMONT READFIELD,139405,WI,Waupaca,Zone 7,LDC,D,A,6/19/92,,,N,Wisconsin Gas LLC,7947047,,,,N,,20160408 08:51
FRENCH LICK/TX EASTERN,4421,IN,Orange,Zone 3,INT,D,A,1/1/83,,,Y,Texas Eastern Transmission,7932908,,"ANR PL Co-French Lick, IN",71825,Y,C000094,20181012 10:53
FRITO LAY SALES,395460,WI,Rock,Zone 7,END,D,A,9/24/04,,,Y,Frito-Lay Inc,7326879,,,,N,,20181012 10:24
FUEL SEGMENT 1 (GATH'G),174635,LA,Louisiana,Zone 1,VIR,B,A,10/27/94,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,19970721 20:33
FUEL SEGMENT 1 (TRANSM),68285,LA,Louisiana,Zone 1,VIR,B,A,12/1/90,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20180531 08:51
FUEL SEGMENT 2,153719,LA,Louisiana,Zone 2,VIR,B,A,12/1/90,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,19980203 20:49
FUEL SEGMENT 3,153721,KY,Kentucky,Zone 3,VIR,B,A,12/1/90,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20010605 22:19
FUEL SEGMENT 4 (TRANSM),153722,OK,Oklahoma,Zone 4,VIR,B,A,12/1/90,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,19970817 20:21
FUEL SEGMENT 5,153724,KS,Kansas,Zone 5,VIR,B,A,12/1/90,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20030224 14:41
FUEL SEGMENT 6,153727,MO,Missouri,Zone 6,VIR,B,A,12/1/90,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20010502 21:15
FUEL SEGMENT 7,153728,MI,Michigan,Zone 7,VIR,B,A,12/1/90,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20001003 6:07
FUEL SEGMENT 7 CANADIAN,9505450,WI,Wood,Zone 7,VIR,B,A,6/24/05,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20050624 16:15
FUEL SEGMENT 7 HUB,9505505,IL,Will,Zone 7,VIR,B,A,5/1/09,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20090526 16:19
GALENA ROAD SALES,384135,IL,Kane,Zone 7,LDC,D,A,10/22/04,,,Y,Nicor Gas Co,6927792,,Big Rock,Station 243,Y,C000600,20170320 09:26
GALLATIN INTERCONNECT,171759,MO,Harrison,Zone 6,LDC,B,A,10/1/95,,,N,Missouri Gas Utility,177053308,,,,N,,20140131 13:51
GEORGE B FRANKLIN INT,40715,LA,Richland,Zone 2,LDC,B,A,9/1/00,,,N,George B Franklin & Sons,8192585,,,,N,,20091214 09:43
GEORGETOWN,11747,MI,Ottawa,Zone 7,LDC,B,A,1/1/83,,,N,DTE Gas Company,6958540,,,,N,,20171221 12:45
GERMANTOWN INT,265372,WI,Washington,Zone 7,LDC,B,A,6/25/03,,,N,Wisconsin Elec Pwr Co,38984456,,,,N,,20180327 15:13
GILCHRIST,3975,IL,Mercer,Zone 6,LDC,B,I,1/1/83,,20170607,N,Ameren Illinois Company,6936017,,,,N,,20170607 12:39
GILLETT,40223,WI,Oconto,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20180601 10:15
GLEASON,20666,TN,Weakley,Zone 2,LDC,B,A,1/1/83,,,N,West Tenn,73525644,,,,N,,20181009 13:08
GOODMAN,139403,WI,Marinette,Zone 7,LDC,B,A,7/1/91,,,N,Wisconsin Public Service Co,7947435,,,,N,,20150508 12:46
GOODWELL 8,142182,MI,Newaygo,Zone 7,WHD,R,I,1/1/83,,20170301,N,DTE Gas Company,6958540,,,,N,,20121018 13:56
GPM LAVERNE FUEL METER,278352,OK,Harper,Zone 5,INT,B,A,12/7/99,,,N,DCP Midstream,3048753,,,,N,,20241111 13:00
GRAHAM,13133,MO,Nodaway,Zone 5,LDC,B,A,1/1/83,,,N,Empire District Gas,625371880,,,,N,,20150709 11:37
GRAND CHENIER/ANR,1250765,LA,Cameron,Zone 1,INT,B,A,10/24/12,,,Y,Kinetica Deepwater,8017117,,GRAND CHENIER/ANR,1250765,Y,C002844,20130215 08:31
GRAND CHENIER/LRC,7695,LA,Cameron,Zone 1,INT,B,A,5/28/15,,,Y,Bridgeline Holding,9603424,,ANR Grand Chenier,850126,Y,C000826,20170719 15:16
GRAND HAVEN,11751,MI,Ottawa,Zone 7,LDC,B,A,1/1/83,,,N,Michigan Gas Utilities,622377096,,,,N,,20181129 10:01
GRANT CITY,13215,MO,Worth,Zone 6,LDC,B,A,1/1/83,,,N,Grant City City of,5702907,,,,N,,20140131 13:33
GREAT LAKES/MUTT D,11778,MI,St Clair,Zone 7,INT,B,A,11/1/11,,,Y,Great Lakes Gas Transmission,824900229,,Muttonville-ANR,482606,Y,C000628,20120131 14:31
GREAT LAKES/MUTTONVILLE,140358,MI,St Clair,Zone 7,INT,B,A,1/1/83,,,Y,Great Lakes Gas Transmission,824900229,,Muttonville-ANR,482606,Y,C000628,19981202 21:07
GREEN BAY,28661,WI,Brown,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20160408 08:52
GREEN STATION,89222,OK,Roger Mills,Zone 4,WHD,R,A,10/1/91,,,N,,967633350,,,,N,,20190919 08:59
GREENSBURG/CP (REC),385402,KS,Kiowa,Zone 4,INT,B,A,12/1/04,,,Y,"Cheyenne Plains Gas Pipeline Company, L.L.C.",143363542,,ANR/CPG Greensburg Delivery Kiowa,892155,Y,C000995,20181002 13:10
GREENSBURG/NNG (DEL),34887,KS,Kiowa,Zone 4,INT,D,A,1/1/83,,,Y,Northern Natural Gas Company,784158214,,ANR/NNG Greensburg,179,Y,C000060,20070314 17:28
GREENSBURG/NNG (REC),90017,KS,Kiowa,Zone 4,INT,R,A,1/1/83,,,Y,Northern Natural Gas Company,784158214,,ANR/NNG Greensburg,179,Y,C000060,20070314 17:28
GREENVILLE SOUTH (DEL),336369,MS,Washington,Zone 2,INT,D,A,8/3/03,,,Y,Tennessee Gas P/L Co,1939164,,ANR/TGP Greenville South,421012,Y,C000020,20070314 17:29
GREENVILLE SOUTH (REC),336367,MS,Washington,Zone 2,INT,R,A,1/7/02,,,Y,Tennessee Gas P/L Co,1939164,,ANR/TGP Greenville South,421012,Y,C000020,20070314 17:28
GREENVILLE TGP/ANR DEL,307790,MS,Washington,Zone 2,INT,D,A,1/1/03,,,Y,Tennessee Gas P/L Co,1939164,,ANR/TGP Greenville Interconnect,420941,Y,C000020,20180725 16:26
GREENVILLE TGP/ANR-REC,305431,MS,Washington,Zone 2,INT,R,A,2/26/03,,,Y,Tennessee Gas P/L Co,1939164,,ANR/TGP Greenville Interconnect,420941,Y,C000020,20180725 16:26
GREENWOOD,153822,MI,St Clair,Zone 7,LDC,B,A,3/1/91,,,N,Semco Energy Inc DBA SEG,6960553,,,,N,,20171005 09:20
GRIMES INT,377735,OK,Roger Mills,Zone 4,WHD,R,A,2/21/07,,,N,Enbridge P/L (TX Gath),32358744,,,,N,,20180919 08:59
GUARDIAN CEDAR DEL,338685,IL,Will,Zone 7,INT,B,A,12/30/02,,,Y,Guardian P/L LLC,39665497,,Joliet ANR,338687,Y,C000583,20070314 17:29
GUARDIAN CEDAR REC,338686,IL,Will,Zone 7,INT,B,A,12/30/02,,,Y,Guardian P/L LLC,39665497,,Joliet ANR,338687,Y,C000583,20070314 17:28
HAMILTON,4489,IN,Steuben,Zone 7,LDC,B,A,1/1/83,,,N,NIPSCO,6937585,,,,N,,20070314 17:28
HAMPSHIRE INT,183670,IL,Kane,Zone 7,LDC,B,A,11/7/95,,,Y,Nicor Gas Co,6927792,,Hampshire,Station 95,Y,C000600,20181031 07:45
HANOR ROBERTS RANCH INT,221448,OK,Woodward,Zone 4,INT,D,A,4/14/97,,,N,Centerpoint Res Corp,803838838,,,,N,,20050428 10:00
HANOVER INT (DEL),153852,MI,Jackson,Zone 7,INT,D,A,9/1/92,,,N,DCP Midstream,3048753,,,,N,,20170616 12:30
HANOVER INT (REC),153853,MI,Jackson,Zone 7,INT,R,A,9/1/92,,,N,DCP Midstream,3048753,,,,N,,20110209 14:27
HARPER VALLEY INT,766131,OK,Harper,Zone 4,INT,R,A,7/15/08,,,N,Freedom Midstream,827401816,,,,N,,20080804 15:59
HARRISON,40834,MI,Clare,Zone 7,LDC,B,A,1/1/83,,,N,DTE Gas Company,6958540,,,,N,,20180720 12:42
HARTFORD EAST,384136,WI,Washington,Zone 7,LDC,B,A,12/4/04,,,N,Wisconsin Gas LLC,7947047,,,,N,,20180327 15:13
HAVENSVILLE,5658,KS,Pottawatomie,Zone 5,LDC,B,A,3/20/90,,,N,Havensville (KS) City of,43430131,,,,N,,20140131 13:50
HAVILAND-EAST OHIO GAS,40482,OH,Paulding,Zone 3,LDC,D,A,1/1/83,,,N,East Ohio Gas Co,7900475,,,,N,,20160113 11:24
HAYNESVILLE,1213536,LA,Rapides,Zone 2,INT,R,A,1/1/12,,,Y,Acadian Gas Pipeline System,109006858,,ANR Cheneyville,H32406,Y,C000932,20120117 09:54
HEBRON/OFFSYSTEM NB,153730,ND,Mercer,Off sys,OTH,B,A,7/28/84,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,19990303 21:21
HENRY ESTATE (BUYBACK),314210,LA,Cameron,Zone 1,INT,D,A,11/19/01,,,N,Mission Res. Corp.,180037640,,,,N,,20031106 09:55
HENRY ESTATE INT,199331,LA,Cameron,Zone 1,GTH,R,A,5/24/96,,,N,Mission Res. Corp.,180037640,,,,N,,20031106 09:55
HIAWATHA,4968,KS,Brown,Zone 5,WHD,D,I,12/1/09,,20170901,Y,"Southern Star Cenral Gas Pipeline, Inc",7906233,,ANR Brown Emergency,11138,Y,C000374,20171204 16:04
HICKORY MEADOWS DELIVERY,513135,WI,Calumet,Zone 7,RNG,R,A,3/25/22,,,Y,Green Meadows,990000052,,Green Meadows RNG LLC,,N,,20240813 14:20
HICKORY MEADOWS RECEIPT,523110,WI,Calumet,Zone 7,RNG,D,A,3/25/22,,,Y,Green Meadows,990000052,,Green Meadows RNG LLC,,N,,20240813 14:20
HITCH INT,237023,OK,Texas,Zone 4,END,D,A,8/5/98,,,N,Hitch Enterprises Inc.,99550352,,,,N,,20070314 17:28
HOFFPAUIR FKA SWEENEY,693262,LA,Acadia,Zone 1,GTH,R,I,5/30/07,,20160620,N,Walter Oil & Gas,58996364,,,,N,,20160622 13:24
HOG BAYOU NO 2,22040,LA,Cameron,Zone 1,WHD,R,A,9/1/09,,,N,Hilcorp Energy Co,606410538,,,,N,,20090902 08:35
HOLLAND,40477,MI,Ottawa,Zone 7,LDC,B,A,1/1/83,,,N,Semco Energy Inc DBA SEG,6960553,,,,N,,20171221 12:45
HOLLAND BPW INT,216654,MI,Allegan,Zone 7,LDC,B,A,6/1/98,,,N,City of Holland,79284337,,,,N,,20180110 07:27
HOPE,4236,IN,Bartholomew,Zone 3,LDC,D,A,1/1/83,,,N,Indiana Gas Company,6938211,,,,N,,20181213 10:17
HORTONVILLE,40224,WI,Outagamie,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20190402 09:31
HUDSONVILLE,696537,MI,Ottawa,Zone 7,LDC,D,A,10/14/08,,,N,DTE Gas Company,6958540,,,,N,,20181004 09:28
HUMBOLDT LAKE ROAD,1402187,TN,Crockett,Zone 2,INT,D,A,9/26/16,,,N,Jackson Energy Authority,38389347,,,,N,,20170720 12:46
IES UTILITIES-GRP 1,139241,IA,,Zone 6,LDC,B,A,6/1/92,,,N,Interstate Power & Light,6940522,,,,N,,20030225 13:57
ILLINOIS NORTH,703495,IL,Will,Zone 7,INT,D,A,1/24/08,,,Y,Kinder Morgan Illinois,796506058,,ANR/KMIP Will,43388,Y,C000236,20170117 09:05
INDIANA GS-GRP 1,139240,IN,,Zone 3,LDC,B,A,11/1/92,,,N,Indiana Gas Company,6938211,,,,N,,20030225 13:58
INDIANA NL-GRP 1,139238,IN,,Zone 3,LDC,B,A,11/1/92,,,N,Indiana Natural Gas Co,44911683,,,,N,,19971002 20:43
INDIANFORD,28807,WI,Rock,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20180828 09:34
IOLA,28858,WI,Waupaca,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20160408 08:51
IPC - GROUP 1,139233,IL,,Zone 6,LDC,B,A,6/1/92,,,N,Ameren Illinois Company,6936017,,,,N,,20010502 21:15
IPLS ALDEN,505613,KS,Rice,Zone 5,VIR,B,A,5/21/18,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20180521 16:23
IPLS BEDISON,866060,MO,Nodaway,Zone 6,VIR,B,A,6/16/09,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20190616 16:03
IPLS BIRMINGHAM,505650,IA,Van Buren,Zone 6,VIR,B,A,12/22/21,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20220127 13:35
IPLS BROWNSVILLE,766182,TN,Haywood,Zone 2,VIR,B,A,7/22/08,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20080722 07:54
IPLS COLLIERVILLE,505615,TN,Shelby,Zone 2,VIR,B,A,7/11/18,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20180710 15:00
IPLS COVERT,9505488,MI,Van Buren,Zone 7,VIR,B,A,2/19/08,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20080306 14:12
IPLS CRYSTAL FALLS,505597,MI,Iron,Zone 7,VIR,B,A,6/19/17,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20170619 08:20
IPLS DETROIT A,505587,MI,Mecosta,Zone 7,VIR,B,A,12/27/16,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20161227 21:49
IPLS EAST JOLIET,505685,IL,Will,Zone 8,VIR,B,A,10/11/24,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20250113 13:25
IPLS EGAN,505603,LA,Acadia,Zone 1,VIR,B,A,7/24/17,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20170724 15:12
IPLS FARWELL,505598,MI,Clare,Zone 7,VIR,B,A,6/19/17,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20170619 08:28
IPLS HOLLAND BPW,766312,MI,Allegan,Zone 7,VIR,B,A,7/25/08,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20080725 14:01
IPLS JANESVILLE,505602,WI,Rock,Zone 7,VIR,B,A,7/24/17,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20170724 15:06
IPLS MARSHFIELD/VIKING,505599,WI,Wood,Zone 7,VIR,B,A,7/11/17,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20170711 14:18
IPLS MONCLOVA,505600,OH,Lucas,Zone 7,VIR,B,A,7/24/17,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20170724 14:48
IPLS MONE,755893,OH,Van Wert,Zone 3,VIR,B,A,6/1/08,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20080612 13:20
IPLS MONEE,866068,IL,Will,Zone 7,VIR,B,A,6/16/09,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20090616 16:06
IPLS NAPOLEON,766313,OH,Henry,Zone 7,VIR,B,A,7/25/08,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20080725 14:07
IPLS OVERISEL,505585,MI,Allegan,Zone 7,VIR,B,A,12/27/16,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20161227 21:43
IPLS PANOLA,866067,MS,Panola,Zone 2,VIR,B,A,6/16/09,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20090616 16:05
IPLS PAULDING,505601,OH,Paulding,Zone 3,VIR,B,A,7/24/17,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20070724 14:53
IPLS REX SHELBYVILLE,505584,IN,Shelby,Zone 3,VIR,B,A,12/27/16,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20161227 21:30
IPLS SLAUGHTERS,505656,KY,Webster,Zone 4,VIR,B,A,3/29/22,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20250113 13:25
IPLS SOUTH CRAIG,766324,MO,Holt,Zone 5,VIR,B,A,7/25/08,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20080725 14:09
IPLS STAG LAKE,505586,MI,St Joseph,Zone 7,VIR,B,A,12/27/16,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20161227 21:46
IPLS WAUSEON,866063,OH,Fulton,Zone 7,VIR,B,A,6/16/09,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20090616 16:04
IPLS WEAKLEY,766183,TN,Weakley,Zone 2,VIR,B,A,7/22/08,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20080722 07:57
IPLS WESTRICK,505638,OH,Defiance,Zone 3,VIR,B,A,5/8/20,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20200730 07:57
IPLS WILLOW,866062,MI,Washtenaw,Zone 7,VIR,B,A,6/16/09,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20090616 16:04
JACKSON,28836,WI,Washington,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20180327 15:13
JACKSON GEN,523097,IL,Will,Zone 7,END,D,A,12/2/20,,,N,"Jackson Generation, LLC",6958581,,,,N,,20210106 09:28
JAMESTOWN INT,349885,MI,Ottawa,Zone 7,INT,D,A,5/19/03,,,N,DTE Gas Company,6958540,,,,N,,20181022 12:11
JANESVILLE WI,40304,WI,Rock,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20170719 09:39
JANESVILLE/NNG INT,28808,WI,Rock,Zone 7,INT,B,A,1/1/83,,,Y,Northern Natural Gas Company,784158214,,ANR/NNG Janesville,180,Y,C000060,20070314 17:28
JASPER INT,153708,IN,Dubois,Zone 3,LDC,D,A,10/1/90,,,N,NGM LLC,625003280,,,,N,,20171213 10:17
JEANERETTE FIELD CDP,40682,LA,St Mary,Zone 1,GTH,R,A,7/25/03,,,N,Gulf Production Corp,555932995,,,,N,,20031016 17:42
JEWELL INT,224546,WI,Defiance,Zone 7,INT,D,A,8/15/97,,,N,Ohio Gas Company,3779345,,,,N,,20160414 14:06
JOHNSON BAYOU/UTOS,40464,LA,Cameron,Zone 1,INT,R,A,10/1/03,,,Y,"Enbridge Offshore Pipelines (UTOS), LLC",118932487,,,,Y,C000510,20190109 10:02
JOLIET (MGT-DEL),4194,IL,Will,Zone 7,INT,D,A,8/3/10,,,Y,Midwestern Gas Transmission,6792451,,Joliet - ANR,4204,Y,C000582,20170815 12:21
JOLIET (MGT-REC),48641,IL,Will,Zone 7,INT,R,A,6/12/10,,,Y,Midwestern Gas Transmission,6792451,,Joliet - ANR,4204,Y,C000582,20170815 12:21
JOLIET (NGPL),2610,IL,Will,Zone 7,INT,R,A,4/1/90,,,Y,NGPL,6931794,,ANR/NGPL South Joliet #2 Will,904758,Y,C002096,20181219 11:32
